Shops,ATMs,Downtown,Weekday,Center,High,Withdraw
10.18,10,1,0,0,0,72.75055592
9.74,10,1,1,0,0,66.72048165
0.96,2,0,0,0,1,19.18951596
9.58,9,1,1,0,1,67.3886692
1.03,4,0,1,0,1,15.81312706
9.92,10,1,1,1,0,71.03715592
10.15,13,1,0,0,0,69.31719721
9.89,13,1,0,0,1,68.35513108
9.84,10,1,1,0,1,68.04078397
1,2,0,1,0,0,15.90649241
9.85,12,1,1,0,1,66.24043113
0.99,3,0,0,0,1,19.92240589
10.09,11,1,1,0,0,69.01739867
10.01,13,1,0,0,0,68.70475691
0.95,3,0,0,1,1,22.5948081
10,15,1,1,0,0,64.89892469
0.97,3,0,1,0,0,15.56150783
0.98,3,0,1,0,0,15.74044751
1.03,2,0,0,0,0,18.34000322
9.98,11,1,1,1,0,70.47220991
9.93,11,1,0,0,0,69.46366297
0.95,3,0,0,0,0,17.52395586
9.75,8,1,1,0,0,68.5691094
0.98,4,0,1,0,1,16.57331948
10.14,8,1,1,0,0,72.3909091
10.05,8,1,1,0,0,71.30089511
1.03,2,0,1,1,1,20.40766569
10.28,11,1,1,1,0,73.82912237
1.11,4,0,1,0,0,14.24074474
9.64,9,1,0,1,0,90.14280361
1,3,0,1,0,0,15.83710131
1.11,2,0,0,0,0,18.45125778
9.95,10,1,1,0,1,69.51083338
9.89,10,1,1,0,0,68.18352998
9.92,11,1,0,0,0,69.29934752
9.88,13,1,1,0,1,65.74891561
9.93,8,1,1,0,1,70.85629614
9.75,10,1,1,0,0,66.50401157
1.04,3,0,1,0,0,15.28664773
9.81,11,1,1,0,0,66.24091377
9.95,11,1,0,0,0,69.68029069
10.07,9,1,0,0,1,72.8986588
9.81,10,1,1,1,1,70.94183059
9.95,12,1,0,0,0,68.4766927
10.09,13,1,1,0,0,67.14083323
1.01,4,0,1,0,0,14.51727377
0.98,4,0,1,0,0,13.71365189
9.69,9,1,0,0,0,68.93108429
9.87,8,1,1,0,0,69.73966721
9.97,17,1,1,0,1,62.41793029
9.8,9,1,1,0,1,69.62628489
10.07,8,1,1,0,0,72.79958885
9.89,12,1,1,0,0,65.86215872
9.96,8,1,1,0,0,69.9567389
9.89,12,1,0,0,1,68.93297406
10.07,8,1,1,0,1,72.36291405
10.07,7,1,1,0,0,72.96057624
9.88,10,1,0,0,1,70.65808776
10,8,1,1,1,0,74.35108086
9.94,11,1,0,0,0,68.9846477
10.02,8,1,0,1,1,97.01599949
10.15,11,1,1,0,0,69.40791573
9.79,11,1,1,0,0,65.66285683
10.07,11,1,0,0,0,71.63386826
10.02,11,1,0,0,0,70.46636608
10.17,10,1,0,0,0,73.10268895
9.87,11,1,0,0,1,70.17590503
1,3,0,0,0,0,18.13770188
0.94,4,0,1,1,0,17.39649006
10.02,11,1,1,0,0,67.0819353
10.07,3,1,1,1,1,81.20691598
9.85,13,1,0,1,0,88.85553192
10.07,9,1,1,0,1,72.10229839
1.02,3,0,1,0,1,16.97394058
10.1,10,1,1,0,0,69.96113485
9.88,8,1,1,0,0,69.61619055
1.02,2,0,1,1,1,20.40007083
9.78,11,1,1,0,1,66.4668091
0.97,2,0,1,0,0,17.43592853
9.65,11,1,0,0,1,67.07233304
9.8,11,1,0,0,0,67.75695639
1.01,2,0,1,0,1,17.76013887
9.57,11,1,1,1,0,67.00576804
1.02,3,0,1,0,0,15.70596984
10.39,12,1,1,0,1,72.27359826
0.98,3,0,1,0,1,16.59533205
9.72,12,1,0,0,1,66.56152924
10.14,9,1,0,0,0,73.70964276
9.82,9,1,1,0,0,68.20467273
10.21,8,1,1,0,1,73.27751678
0.95,3,0,1,0,0,14.95339429
9.98,9,1,1,1,1,74.17400596
9.77,7,1,0,0,0,71.22696672
10.34,13,1,0,0,0,71.60562623
1.1,3,0,1,0,0,16.1896018
10.32,14,1,1,1,0,71.05765049
9.8,9,1,1,0,0,68.64137759
10.11,6,1,1,0,0,73.95021726
10.21,6,1,0,0,0,76.75640588
10.11,10,1,1,0,1,71.710922
9.81,9,1,1,0,0,68.15078314
1.04,3,0,1,0,0,16.42670028
10.04,8,1,0,0,0,73.38851586
1.05,4,0,1,0,1,14.32243945
0.97,4,0,1,0,0,15.45962174
9.93,11,1,1,0,0,67.48731826
1.02,5,0,1,0,0,13.33967705
9.94,10,1,0,0,0,70.31392743
0.96,3,0,1,1,0,18.93410001
1.01,3,0,1,1,0,19.01946175
9.87,12,1,1,0,1,66.72843841
9.66,7,1,1,0,0,68.89265558
9.99,9,1,0,0,1,73.16881892
10.04,9,1,0,0,0,72.21694622
0.96,4,0,0,1,1,22.38328076
10,8,1,1,0,0,71.58963855
10.01,9,1,0,0,0,72.4078443
1.02,3,0,0,0,0,17.2529753
9.93,8,1,1,0,0,69.84252498
1.07,3,0,1,0,1,17.70888336
9.98,11,1,1,0,0,67.20771446
10.22,7,1,1,0,1,75.46519794
9.67,4,1,0,0,0,72.83941146
9.81,9,1,1,0,0,67.65044265
10.29,8,1,1,0,0,73.87552692
9.64,11,1,0,0,0,66.68978825
1.08,3,0,1,0,0,16.45572737
10.02,12,1,1,0,0,67.63861686
10.25,11,1,1,0,1,72.89357219
0.94,2,0,1,1,0,19.24850428
1.01,3,0,1,0,0,15.92795808
9.72,9,1,1,0,0,66.84164546
10.23,10,1,1,0,0,71.22028439
9.87,5,1,1,0,1,73.708869
10.14,10,1,1,0,0,69.77251635
1.08,4,0,1,0,1,15.35704148
1.01,3,0,0,0,0,17.6926106
1.1,5,0,1,0,0,14.61376628
10.05,8,1,1,0,0,71.41852944
10.14,9,1,0,1,0,96.83421459
9.83,11,1,0,0,0,67.96371147
9.68,11,1,1,0,0,63.85383975
9.79,9,1,0,0,1,70.96304332
10.04,14,1,1,0,1,66.82750775
10.04,8,1,1,0,1,72.26408906
9.82,6,1,0,0,1,73.75966515
0.99,0,0,1,0,0,18.24374004
10.06,10,1,0,1,0,95.18512806
9.74,9,1,1,0,0,67.13512377
9.97,8,1,1,0,0,71.10550692
0.99,4,0,1,1,0,17.47803458
9.74,9,1,1,0,0,67.95380971
10.27,12,1,1,0,1,70.7473862
10.09,10,1,1,0,1,70.67485909
9.92,10,1,1,0,0,67.78643998
10.19,10,1,1,0,0,70.75683253
9.78,11,1,0,0,0,67.06527654
0.98,2,0,1,0,0,17.14120373
1.03,2,0,0,0,0,18.84292574
10.26,13,1,1,0,0,68.24456555
9.79,10,1,1,0,0,67.02912514
9.88,10,1,0,0,0,69.08811114
1.13,2,0,0,0,0,18.09573531
1.09,5,0,1,0,0,12.93478643
10.44,10,1,1,0,0,74.38677772
10.17,7,1,1,0,1,74.15382402
10,11,1,1,0,0,68.09234047
0.93,4,0,1,0,0,13.94365479
9.71,10,1,0,0,0,67.78192982
10.26,12,1,1,0,1,71.7222285
10.09,11,1,0,0,0,70.06282003
1.04,3,0,1,1,0,18.92985374
10.05,8,1,1,0,0,71.63758217
10.26,13,1,1,0,1,69.48643415
10.03,15,1,1,0,0,64.86307223
1,3,0,1,0,0,15.17309867
10.18,9,1,1,0,0,71.59477707
10.11,9,1,0,0,1,74.25604978
1.01,3,0,1,0,0,15.88887132
9.91,13,1,1,1,0,67.3668655
10.28,11,1,1,1,1,74.89501854
10.07,11,1,0,0,1,71.65049559
9.86,9,1,1,1,0,71.68769903
10.33,11,1,1,0,0,71.6482004
0.94,4,0,1,0,0,14.40397534
10.02,9,1,0,0,0,71.65186072
10.36,11,1,0,0,0,73.94772809
10.16,11,1,0,0,1,72.90301595
10.03,8,1,1,0,0,71.30744643
9.86,10,1,1,0,0,67.75508368
0.97,3,0,1,0,0,15.99023669
9.75,11,1,1,0,0,65.02124879
9.91,10,1,1,0,1,69.07497221
0.99,1,0,1,0,0,18.47859945
10.28,12,1,0,0,0,71.74691629
0.94,2,0,1,0,0,16.6229441
9.98,11,1,1,0,1,68.77181755
10.44,10,1,0,0,1,76.48052411
1.04,2,0,1,0,1,18.58512673
10.35,9,1,1,0,1,75.18815673
1.03,2,0,1,0,0,16.1233303
1.14,6,0,1,0,0,12.17827719
10.01,10,1,0,0,0,71.48890286
0.95,4,0,1,1,1,18.38913734
1.02,3,0,1,0,0,15.44473449
1,4,0,1,0,0,14.93404692
9.99,6,1,0,0,1,75.46613442
9.72,10,1,1,0,1,67.96935214
0.95,4,0,1,0,0,14.22666541
0.99,4,0,1,0,0,15.71145364
1.07,3,0,1,0,0,16.40152105
10.1,12,1,0,0,1,70.85152767
1,2,0,1,0,0,16.48183131
10.32,7,1,1,0,0,74.67817134
10.18,9,1,1,0,0,72.45838123
0.97,3,0,0,0,1,17.71228352
10.1,9,1,1,0,0,70.95373571
0.94,2,0,0,0,1,19.56527129
10.03,9,1,0,1,0,94.89759281
9.92,9,1,1,1,1,73.45826549
9.95,9,1,1,0,0,69.7973111
10.06,9,1,1,0,1,71.35875218
10.27,12,1,1,0,1,71.01071117
9.86,10,1,0,0,0,69.13441895
1.02,3,0,0,1,0,22.78711848
10.09,7,1,1,0,1,74.24504172
10.22,10,1,1,0,0,71.73870357
9.93,11,1,1,0,0,67.02302369
10.16,11,1,0,0,0,71.68720467
10.12,9,1,0,0,0,72.43868179
9.85,9,1,1,0,0,68.29263318
